matrix_code,matrix_title,code_prefix
721000,Accommodation,721
720000,Accommodation and food services,72
541200,"Accounting, tax preparation, bookkeeping, and payroll services",5412
560000,Administrative and support and waste management and remediation services,56
561000,Administrative and support services,561
541800,"Advertising, public relations, and related services",5418
336400,Aerospace product and parts manufacturing,3364
524200,"Agencies, brokerages, and other insurance related activities",5242
711400,"Agents and managers for artists, athletes, entertainers, and other public figures",7114
110000,"Agriculture, forestry, fishing, and hunting",11
481000,Air transportation,481
621990,All other ambulatory healthcare services,62199
4445R0,"All other retail trade (444, 449, 456-9)",4445
331300,Alumina and aluminum production and processing,3313
621910,Ambulance services,62191
621000,Ambulatory healthcare services,621
713100,Amusement parks and arcades,7131
713000,"Amusement, gambling, and recreation industries",713
311100,Animal food manufacturing,3111
112000,Animal production and aquaculture,112
311600,Animal slaughtering and processing,3116
315000,Apparel manufacturing,315
424300,"Apparel, piece goods, and notions merchant wholesalers",4243
541300,"Architectural, engineering, and related services",5413
710000,"Arts, entertainment, and recreation",71
334300,Audio and video equipment manufacturing,3343
441100,Automobile dealers,4411
811120,"Automotive body, paint, interior, and glass repair",81112
532100,Automotive equipment rental and leasing,5321
811110,Automotive mechanical and electrical repair and maintenance,81111
441300,"Automotive parts, accessories, and tire retailers",4413
811100,Automotive repair and maintenance,8111
311800,Bakeries and tortilla manufacturing,3118
445300,"Beer, wine, and liquor retailers",4453
312000,Beverage and tobacco product manufacturing,312
312100,Beverage manufacturing,3121
221117,Biomass electric power generation,221117
459200,Book retailers and news dealers,4592
516000,Broadcasting and Content Providers,516
238200,Building equipment contractors,2382
238300,Building finishing contractors,2383
444000,Building material and garden equipment and supplies dealers,444
444100,Building material and supplies dealers,4441
61140L,Business schools and computer and management training; local,6114
61140P,Business schools and computer and management training; private,6114
61140S,Business schools and computer and management training; state,6114
561400,Business support services,5614
813900,"Business, professional, labor, political, and similar organizations",8139
721120,Casino hotels,72112
485500,Charter bus industry,4855
325000,Chemical manufacturing,325
3250A1,"Chemical manufacturing (3251,2,3,9)",325
3250A2,"Chemical manufacturing (3255,6)",325
624400,Child daycare services,6244
813400,Civic and social organizations,8134
8134-9,"Civic, social, professional, and similar organizations",8134
458100,Clothing and clothing accessories retailers,4581
458000,"Clothing, clothing accessories, shoe, and jewelry retailers",458
212100,Coal mining,2121
332800,"Coating, engraving, heat treating, and allied activities",3328
61130L,"Colleges, universities, and professional schools; local",6113
61130P,"Colleges, universities, and professional schools; private",6113
61130S,"Colleges, universities, and professional schools; state",6113
811300,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,8113
333300,Commercial and service industry machinery manufacturing,3333
334200,Communications equipment manufacturing,3342
624200,"Community food and housing, and emergency and other relief services",6242
6242-3,"Community food and housing, emergency and other relief services, and vocational rehabilitation services",6242
334000,Computer and electronic product manufacturing,334
334100,Computer and peripheral equipment manufacturing,3341
541500,Computer systems design and related services,5415
518000,"Computing infrastructure providers, data processing, web hosting, and related services",518
230000,Construction,23
236000,Construction of buildings,236
623300,Continuing care retirement communities and assisted living facilities for the elderly,6233
322200,Converted paper product manufacturing,3222
492100,Couriers and express delivery services,4921
492000,Couriers and messengers,492
522000,Credit intermediation and related activities,522
5220A1,"Credit intermediation and related activities (5221,3)",522
111000,Crop production,111
311500,Dairy product manufacturing,3115
812200,Death care services,8122
483100,"Deep sea, coastal, and great lakes water transportation",4831
524114,Direct health and medical insurance carriers,524114
524120,"Direct insurance (except life, health, and medical) carriers",52412
722400,Drinking places (alcoholic beverages),7224
812300,Drycleaning and laundry services,8123
238310,Drywall and insulation contractors,23831
6110P0,Educational services; private,611
6110Y0,Educational services; state and local,611
611000,"Educational services; state, local, and private",611
610000,"Educational services; state, local, and private",61
61170L,Educational support services; local,6117
61170P,Educational support services; private,6117
335100,Electric lighting equipment manufacturing,3351
221110,Electric power generation,22111
221100,"Electric power generation, transmission and distribution",2211
238210,Electrical contractors and other wiring installation contractors,23821
335300,Electrical equipment manufacturing,3353
335000,"Electrical equipment, appliance, and component manufacturing",335
811200,Electronic and precision equipment repair and maintenance,8112
449200,Electronics and appliance retailers,4492
61110L,Elementary and secondary schools; local,6111
61110P,Elementary and secondary schools; private,6111
61110S,Elementary and secondary schools; state,6111
561300,Employment services,5613
333600,"Engine, turbine, and power transmission equipment manufacturing",3336
541330,Engineering services,54133
561710,Exterminating and pest control services,56171
332000,Fabricated metal product manufacturing,332
3320A1,"Fabricated metal product manufacturing (3321,2,5,6,9)",332
3320A2,"Fabricated metal product manufacturing (3323,4)",332
561200,Facilities support services,5612
423820,Farm and garden machinery and equipment merchant wholesalers,42382
424500,Farm product raw material merchant wholesalers,4245
910000,Federal government,91
999100,"Federal government, excluding postal service",9991
520000,Finance and insurance,52
114000,"Fishing, hunting and trapping",114
713940,Fitness and recreational sports centers,71394
459300,Florists,4593
445000,Food and beverage retailers,445
311000,Food manufacturing,311
722000,Food services and drinking places,722
1131-2,Forestry,1131
113000,Forestry and logging,113
221112,Fossil fuel electric power generation,221112
238100,"Foundation, structure, and building exterior contractors",2381
331500,Foundries,3315
488500,Freight transportation arrangement,4885
311400,Fruit and vegetable preserving and specialty food manufacturing,3114
457200,Fuel dealers,4572
722511,Full-service restaurants,722511
525000,"Funds, trusts, and other financial vehicles",525
449100,Furniture and home furnishings retailers,4491
337000,Furniture and related product manufacturing,337
3370A1,"Furniture and related product manufacturing (3371,2)",337
449000,"Furniture, home furnishings, electronics, and appliance retailers",449
713200,Gambling industries (except casino hotels),7132
457100,Gasoline stations,4571
457000,Gasoline stations and fuel dealers,457
62210L,General medical and surgical hospitals; local,6221
62210P,General medical and surgical hospitals; private,6221
62210S,General medical and surgical hospitals; state,6221
455000,General merchandise retailers,455
221116,Geothermal electric power generation,221116
900000,"Government, excluding state and local education and hospitals",9
311200,Grain and oilseed milling,3112
813200,Grantmaking and giving services,8132
8132-3,Grantmaking and giving services and social advocacy organizations,8132
4450A1,Grocery and specialty food retailers,445
456100,Health and personal care retailers,4561
456000,Health and personal care retailers,456
620000,Healthcare and social assistance,62
237000,Heavy and civil engineering construction,237
237300,"Highway, street, and bridge construction",2373
621600,Home healthcare services,6216
6220P0,Hospitals; private,622
6220Y0,Hospitals; state and local,622
622000,"Hospitals; state, local, and private",622
335200,Household appliance manufacturing,3352
221111,Hydroelectric power generation,221111
711500,"Independent artists, writers, and performers",7115
624100,Individual and family services,6241
510000,Information,51
483200,Inland water transportation,4832
524210,Insurance agencies and brokerages,52421
525100,Insurance and employee benefit funds,5251
524100,Insurance carriers,5241
524000,Insurance carriers and related activities,524
485200,Interurban and rural bus transportation,4852
561600,Investigation and security services,5616
561610,"Investigation, guard, and armored car services",56161
331100,Iron and steel mills and ferroalloy manufacturing,3311
339910,Jewelry and silverware manufacturing,33991
