naics_code_2022,bls_establishments_2024,bls_employment_2024,bls_average_annual_pay_usd_2024,bls_employment_growth_pct_2024,bls_pay_growth_pct_2024,bls_disclosure_code
111110,1464,5523,48538,1.1,-0.1,
111120,64,240,61256,-1.2,-4.2,
111130,95,357,49445,-16.6,3.1,
111140,2023,5755,46688,-2.5,5.0,
111150,4131,19442,52729,2.3,0.5,
111160,797,3098,54411,-1.5,1.5,
111191,4519,17749,48687,0.8,2.1,
111199,1494,5720,47240,5.6,1.7,
111211,1052,15630,51356,1.2,2.7,
111219,4380,65534,46940,-0.5,3.5,
111310,338,2950,56691,-3.8,10.4,
111320,263,2290,41514,25.3,4.3,
111331,1483,32041,32959,2.9,0.8,
111332,1787,23294,43726,-3.1,1.7,
111333,511,30133,36400,5.7,2.8,
111334,952,20411,37350,-0.9,4.0,
111335,2132,19284,50156,-2.3,2.8,
111336,450,7358,40285,2.0,0.3,
111339,2084,24445,35360,-6.3,2.5,
111411,322,9407,48533,-1.1,2.7,
111419,2506,38628,47972,2.4,2.4,
111421,5158,84004,46080,-0.5,4.0,
111422,2158,41374,42523,-2.9,3.8,
111910,366,1594,40565,-1.5,6.8,
111920,2443,9556,45929,-2.2,1.3,
111930,263,3320,88758,0.2,12.3,
111940,1830,9281,48420,0.7,1.6,
111991,363,1520,52085,-0.2,4.0,
111992,223,1055,42883,-9.8,5.8,
111998,6028,41066,45693,0.5,1.5,
112111,10209,42474,45907,2.0,4.5,
112112,1194,15364,56944,2.7,3.7,
112120,6757,104477,48311,-0.8,4.6,
112210,2299,27582,52657,-4.7,4.3,
112310,827,22237,61494,2.8,6.4,
112320,656,7328,57901,-1.3,4.6,
112330,452,4860,53173,4.8,1.6,
112340,481,9833,59921,1.5,1.5,
112390,205,1980,48282,2.0,4.3,
112410,268,1060,44141,1.8,6.4,
112420,142,563,34147,-5.4,-1.2,
112511,473,3741,50054,-2.2,2.1,
112512,348,2624,48738,-4.6,-1.7,
112519,214,1079,61853,-1.6,7.8,
112910,884,4007,48888,3.1,2.3,
112920,1645,6253,47282,1.7,3.9,
112930,79,528,40614,5.2,5.1,
112990,1740,11157,58352,-3.0,2.5,
113110,690,2926,75096,-0.2,0.5,
113210,356,1796,53015,-7.2,10.2,
113310,7705,42456,58698,-3.4,3.7,
114111,978,3092,95671,-7.1,5.3,
114112,1031,1803,75663,-8.8,-3.5,
114119,183,596,73411,10.0,-6.3,
114210,622,2236,48489,3.6,3.3,
115111,519,5464,57705,-3.4,5.0,
115112,3954,27929,56002,1.0,2.7,
115113,1136,11102,50401,1.6,8.3,
115114,2188,84044,53752,-0.9,3.3,
115115,3170,186976,34077,2.0,1.9,
115116,1832,21103,52189,0.8,2.0,
115210,6352,31354,48161,0.4,4.4,
115310,3158,22280,71452,6.6,11.9,
211120,4316,83483,230241,0.0,3.9,
211130,1942,37856,180219,18.4,8.6,
212114,410,18244,107855,-6.9,2.3,
212115,264,23126,116060,0.0,2.6,
212210,45,5209,114174,3.3,-0.6,
212220,241,15647,124342,0.5,5.1,
212230,106,19551,107346,4.8,5.3,
212290,142,4667,119763,3.6,6.2,
212311,576,7510,64439,-0.6,5.5,
212312,1160,23469,82545,0.8,4.8,
212313,298,6199,101456,3.8,25.2,
212319,505,7975,87699,1.0,7.2,
212321,2647,31902,84579,2.5,4.6,
212322,250,8754,84065,17.0,1.0,
212323,184,6194,96001,0.5,6.5,
212390,490,12182,101459,2.4,1.3,
213111,2069,43714,124403,-8.4,6.3,
213112,13944,217642,112163,-0.9,4.6,
213113,386,4886,103958,-1.6,16.8,
213114,428,4805,123081,-3.9,5.9,
213115,336,3222,95079,0.0,-2.9,
221111,672,7952,146139,-1.2,3.1,
221112,1907,73825,148344,-1.6,6.0,
221113,180,37072,166930,-1.2,3.7,
221114,2469,16608,127485,16.0,9.0,
221115,739,11718,136296,20.7,9.4,
221116,64,1064,137859,-16.7,7.3,
221117,222,2369,113712,1.3,-2.5,
221118,778,4742,155237,14.3,2.8,
221121,882,28910,145978,8.5,2.6,
221122,6450,227510,135333,1.7,6.0,
221210,3317,116558,141467,2.1,4.0,
221310,5880,52424,79761,4.2,5.9,
221320,762,7113,74351,4.7,5.2,
221330,153,1444,106048,-0.2,8.2,
236115,89841,376484,81341,-1.2,4.1,
236116,5200,46165,106023,0.8,3.8,
236117,5478,57936,129156,8.1,5.5,
236118,126785,455708,62228,2.2,4.0,
236210,6962,162415,99451,5.3,3.5,
236220,57264,741745,101248,2.8,4.9,
237110,12958,212151,85223,4.1,5.5,
237120,4414,143675,100927,4.4,5.5,
237130,13191,239681,100305,0.3,5.3,
237210,5799,36695,114955,-0.6,1.3,
237310,12220,374706,93074,4.0,5.7,
237990,9926,136846,97563,7.2,4.3,
238111,18179,124706,62429,2.1,3.1,
238112,6566,130786,77259,-1.2,3.2,
238121,1538,14358,70484,-1.6,3.3,
238122,4106,72725,82076,-2.9,4.6,
238131,10145,66656,55383,0.7,2.7,
238132,1596,18366,71884,-1.9,4.6,
238141,14696,71647,55717,-0.6,4.2,
238142,4692,69265,70713,-1.3,3.7,
238151,4679,28481,62470,5.8,4.1,
238152,3251,45902,79555,-1.3,3.5,
238161,25307,135211,64681,6.2,4.2,
238162,6256,115353,79212,1.9,5.7,
238171,8218,37841,59841,1.7,4.2,
