naics_code_2017,naics_title_2017,establishments_2022,employment_2022,annual_payroll_usd_2022,average_annual_pay_usd_2022
113110,Timber tract operations,477,3769,247657000,65708.94136375697
113210,Forest nurseries and gathering of forest products,184,983,52175000,53077.31434384537
113310,Logging,7465,44989,2473145000,54972.215430438555
114111,Finfish fishing,1548,3256,312531000,95986.17936117935
114112,Shellfish fishing,969,1813,103942000,57331.49476006619
114119,Other marine fishing,120,275,30261000,110040.0
114210,Hunting and trapping,434,1899,86043000,45309.63665086888
115111,Cotton ginning,186,1974,123544000,62585.61296859169
115112,"Soil preparation, planting, and cultivating",2200,11841,716965000,60549.3623849337
115113,"Crop harvesting, primarily by machine",382,2723,159075000,58419.02313624679
115114,Postharvest crop activities (except cotton ginning),1101,30666,1540441000,50232.863757907784
115115,Farm labor contractors and crew leaders,656,20633,785288000,38059.80710512286
115116,Farm management services,738,5178,354774000,68515.64310544611
115210,Support activities for animal production,4893,23026,998941000,43383.175540693126
115310,Support activities for forestry,1979,15609,936850000,60019.860336985075
211120,Crude petroleum extraction,3973,58551,10449305000,178465.01340711516
211130,Natural gas extraction,1303,26219,4266223000,162714.93954765628
212111,Bituminous coal and lignite surface mining,259,14873,1477021000,99308.88186646944
212112,Bituminous coal underground mining,189,24101,2462527000,102175.30392929754
212113,Anthracite mining,53,867,59953000,69149.94232987313
212210,Iron ore mining,26,4836,528811000,109348.84201819685
212221,Gold ore mining,178,14467,1549744000,107122.69302550632
212222,Silver ore mining,11,1286,141325000,109895.0233281493
212230,"Copper, nickel, lead, and zinc mining",59,16142,1537422000,95243.58815512327
212291,Uranium-radium-vanadium ore mining,19,217,24054000,110847.9262672811
212299,All other metal ore mining,36,3170,395389000,124728.39116719243
212311,Dimension stone mining and quarrying,395,5138,317032000,61703.386531724405
212312,Crushed and broken limestone mining and quarrying,1388,25891,1901906000,73458.19010466957
212313,Crushed and broken granite mining and quarrying,286,6061,470710000,77662.10196337238
212319,Other crushed and broken stone mining and quarrying,381,6142,508790000,82837.83783783784
212321,Construction sand and gravel mining,2227,24864,1815211000,73005.59041184041
212322,Industrial sand mining,207,5612,469740000,83702.77975766215
212324,Kaolin and ball clay mining,27,1960,150420000,76744.89795918367
212325,Clay and ceramic and refractory minerals mining,90,2253,159173000,70649.35641367066
212391,"Potash, soda, and borate mineral mining",21,3585,390516000,108930.54393305439
212392,Phosphate rock mining,9,1611,151104000,93795.1582867784
