naics_code_2022,naics_title_2022,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022
113110,Timber Tract Operations,direct,113110,477,3769,247657000,65708.94
113210,Forest Nurseries and Gathering of Forest Products,direct,113210,184,983,52175000,53077.31
113310,Logging,direct,113310,7465,44989,2473145000,54972.22
114111,Finfish Fishing,direct,114111,1548,3256,312531000,95986.18
114112,Shellfish Fishing,direct,114112,969,1813,103942000,57331.49
114119,Other Marine Fishing,direct,114119,120,275,30261000,110040.0
114210,Hunting and Trapping,direct,114210,434,1899,86043000,45309.64
115111,Cotton Ginning,direct,115111,186,1974,123544000,62585.61
115112,"Soil Preparation, Planting, and Cultivating",direct,115112,2200,11841,716965000,60549.36
115113,"Crop Harvesting, Primarily by Machine",direct,115113,382,2723,159075000,58419.02
115114,Postharvest Crop Activities (except Cotton Ginning),direct,115114,1101,30666,1540441000,50232.86
115115,Farm Labor Contractors and Crew Leaders,direct,115115,656,20633,785288000,38059.81
115116,Farm Management Services,direct,115116,738,5178,354774000,68515.64
115210,Support Activities for Animal Production,direct,115210,4893,23026,998941000,43383.18
115310,Support Activities for Forestry,direct,115310,1979,15609,936850000,60019.86
211120,Crude Petroleum Extraction,direct,211120,3973,58551,10449305000,178465.01
211130,Natural Gas Extraction,direct,211130,1303,26219,4266223000,162714.94
212210,Iron Ore Mining,direct,212210,26,4836,528811000,109348.84
212220,Gold Ore and Silver Ore Mining,aggregated_2017_to_2022,212221|212222,189,15753,1691069000,107349.01
212230,"Copper, Nickel, Lead, and Zinc Mining",direct,212230,59,16142,1537422000,95243.59
212290,Other Metal Ore Mining,aggregated_2017_to_2022,212291|212299,55,3387,419443000,123839.09
212311,Dimension Stone Mining and Quarrying,direct,212311,395,5138,317032000,61703.39
212312,Crushed and Broken Limestone Mining and Quarrying,direct,212312,1388,25891,1901906000,73458.19
212313,Crushed and Broken Granite Mining and Quarrying,direct,212313,286,6061,470710000,77662.1
212319,Other Crushed and Broken Stone Mining and Quarrying,direct,212319,381,6142,508790000,82837.84
212321,Construction Sand and Gravel Mining,direct,212321,2227,24864,1815211000,73005.59
212322,Industrial Sand Mining,direct,212322,207,5612,469740000,83702.78
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",aggregated_2017_to_2022,212324|212325,117,4213,309593000,73485.16
212390,Other Nonmetallic Mineral Mining and Quarrying,aggregated_2017_to_2022,212391|212392|212393|212399,226,9864,903951000,91641.42
213111,Drilling Oil and Gas Wells,direct,213111,2008,53277,5405172000,101454.14
