rank,naics_code,entity_name,matrix_industry_code,matrix_industry_title,mapping_type,mapping_note,occupation_coverage_share_pct,frontline_operator_share_pct,knowledge_work_share_pct,workflow_intensity,documentation,coordination,compliance,care_service,top_occupation_1,top_occupation_2,top_occupation_3
1,722310,Food Service Contractors,722300,Special food services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.9,94.2,1.5,79.0,51.6,62.3,61.0,61.1,Fast food and counter workers (19.9%),"Cooks, institution and cafeteria (9.2%)",Waiters and waitresses (7.4%)
2,721110,Hotels (except Casino Hotels) and Motels,721100,Traveler accommodation,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,96.1,92.6,1.7,79.7,56.8,64.6,62.0,63.7,Maids and housekeeping cleaners (22.4%),"Hotel, motel, and resort desk clerks (13.1%)",Waiters and waitresses (7.2%)
3,445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),4450A1,Grocery and specialty food retailers,broad_parent,BLS matrix only publishes a broader parent line for this industry.,96.7,97.2,0.8,79.6,55.5,59.1,58.7,54.9,Cashiers (27.5%),Stockers and order fillers (20.9%),Food preparation workers (6.1%)
4,621610,Home Health Care Services,621600,Home healthcare services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,37.3,82.3,9.9,81.8,77.5,75.3,76.1,85.6,Registered nurses (11.0%),Licensed practical and licensed vocational nurses (4.5%),Nursing assistants (4.5%)
5,623312,Assisted Living Facilities for the Elderly,623300,Continuing care retirement communities and assisted living facilities for the elderly,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,70.5,90.8,2.8,82.6,65.9,70.0,69.7,76.7,Nursing assistants (15.4%),"Food servers, nonrestaurant (7.4%)",Maids and housekeeping cleaners (5.0%)
6,562111,Solid Waste Collection,562100,Waste collection,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.4,93.5,2.0,78.4,55.1,58.6,67.4,46.1,Refuse and recyclable material collectors (31.7%),Heavy and tractor-trailer truck drivers (21.8%),"Laborers and freight, stock, and material movers, hand (6.9%)"
7,812930,Parking Lots and Garages,812900,Other personal services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,87.7,90.4,4.0,80.2,65.1,65.9,65.1,63.6,Animal caretakers (33.8%),Parking attendants (16.7%),General and operations managers (4.2%)
8,621498,All Other Outpatient Care Centers,621400,Outpatient care centers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,78.5,76.4,15.4,78.5,78.9,74.5,75.7,83.6,Registered nurses (15.0%),Medical assistants (7.1%),Medical secretaries and administrative assistants (5.1%)
9,457110,Gasoline Stations with Convenience Stores,457100,Gasoline stations,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,99.3,95.9,0.3,77.8,52.3,55.3,55.4,52.5,Cashiers (60.0%),First-line supervisors of retail sales workers (10.6%),Retail salespersons (5.4%)
10,484122,"General Freight Trucking, Long‑Distance, Less Than Truckload",484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
11,621492,Kidney Dialysis Centers,621400,Outpatient care centers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,78.5,76.4,15.4,78.5,78.9,74.5,75.7,83.6,Registered nurses (15.0%),Medical assistants (7.1%),Medical secretaries and administrative assistants (5.1%)
12,621511,Medical Laboratories,621500,Medical and diagnostic laboratories,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,68.4,78.8,11.8,78.3,76.1,72.0,72.3,73.1,Phlebotomists (14.6%),Radiologic technologists and technicians (5.6%),Couriers and messengers (5.4%)
13,623220,Residential Mental Health and Substance Abuse Facilities,623220,Residential mental health and substance abuse facilities,exact_code,BLS matrix publishes this exact industry code.,63.9,56.7,32.1,67.3,75.5,75.3,71.8,80.4,Social and human service assistants (7.8%),Psychiatric technicians (4.7%),Registered nurses (4.7%)
14,457120,Other Gasoline Stations,457100,Gasoline stations,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,99.3,95.9,0.3,77.8,52.3,55.3,55.4,52.5,Cashiers (60.0%),First-line supervisors of retail sales workers (10.6%),Retail salespersons (5.4%)
15,312120,Breweries,312100,Beverage manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.8,84.6,8.2,76.3,60.0,65.4,67.5,56.8,Bartenders (11.7%),Packaging and filling machine operators and tenders (8.5%),"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders (7.6%)"
16,722514,"Cafeterias, Grill Buffets, and Buffets",722000,Food services and drinking places,broad_parent,BLS matrix only publishes a broader parent line for this industry.,98.3,96.1,0.6,77.9,46.0,58.7,56.8,57.4,Fast food and counter workers (26.9%),Waiters and waitresses (16.1%),"Cooks, restaurant (10.5%)"
17,621493,Freestanding Ambulatory Surgical and Emergency Centers,621400,Outpatient care centers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,78.5,76.4,15.4,78.5,78.9,74.5,75.7,83.6,Registered nurses (15.0%),Medical assistants (7.1%),Medical secretaries and administrative assistants (5.1%)
18,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",532100,Automotive equipment rental and leasing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.0,91.1,2.1,81.0,68.7,64.9,66.1,59.6,Counter and rental clerks (29.6%),Cleaners of vehicles and equipment (11.4%),Bus and truck mechanics and diesel engine specialists (5.9%)
19,323111,Commercial Printing (except Screen and Books),323000,Printing and related support activities,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.3,84.6,8.9,77.7,65.4,70.0,69.5,55.8,Printing press operators (23.9%),Print binding and finishing workers (8.6%),Customer service representatives (4.5%)
20,484210,Used Household and Office Goods Moving,484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
21,337110,Wood Kitchen Cabinet and Counter Top Manufacturing,3370A1,"Furniture and related product manufacturing (3371,2)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,82.5,87.0,7.0,77.2,61.0,64.7,69.1,50.1,Cabinetmakers and bench carpenters (18.1%),"Woodworking machine setters, operators, and tenders, except sawing (4.7%)",First-line supervisors of production and operating workers (4.6%)
22,561621,Security Systems Services (except Locksmiths),561620,Security systems services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,84.8,83.8,7.9,78.4,70.8,71.0,72.3,49.4,Security and fire alarm systems installers (33.4%),Locksmiths and safe repairers (6.7%),General and operations managers (5.1%)
23,236118,Residential Remodelers,236100,Residential building construction,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.5,80.8,5.8,78.3,67.0,74.3,73.9,56.5,Carpenters (22.9%),Construction laborers (14.8%),First-line supervisors of construction trades and extraction workers (8.5%)
24,236115,New Single-family Housing Construction (Except For-Sale Builders),236100,Residential building construction,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.5,80.8,5.8,78.3,67.0,74.3,73.9,56.5,Carpenters (22.9%),Construction laborers (14.8%),First-line supervisors of construction trades and extraction workers (8.5%)
25,236220,Commercial and Institutional Building Construction,236200,Nonresidential building construction,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.6,71.7,11.5,74.3,67.0,75.4,75.3,56.1,Construction laborers (13.2%),Carpenters (13.0%),First-line supervisors of construction trades and extraction workers (12.2%)
26,484110,"General Freight Trucking, Local",484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
27,531110,Lessors of Residential Buildings and Dwellings,531000,Real estate,broad_parent,BLS matrix only publishes a broader parent line for this industry.,92.1,70.0,7.6,74.2,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)","Property, real estate, and community association managers (13.1%)",Real estate sales agents (8.4%)
28,484121,"General Freight Trucking, Long‑Distance, Truckload",484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
29,484220,"Specialized Freight (except Used Goods) Trucking, Local",484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
