naics_code_2022,naics_title_2022,status_code,naics_codes_2017,naics_titles_2017
212114,Surface Coal Mining,N,212111|212113,Bituminous Coal and Lignite Surface Mining|Anthracite Mining - anthracite surface mining
212115,Underground Coal Mining,N,212112|212113,Bituminous Coal Underground Mining|Anthracite Mining - anthracite underground mining
212220,Gold Ore and Silver Ore Mining,N,212221|212222,Gold Ore Mining|Silver Ore Mining
212290,Other Metal Ore Mining,N,212291|212299,Uranium-Radium-Vanadium Ore Mining|All Other Metal Ore Mining
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",N,212324|212325,Kaolin and Ball Clay Mining|Clay and Ceramic and Refractory Minerals Mining
212390,Other Nonmetallic Mineral Mining and Quarrying,N,212391|212392|212393|212399,"Potash, Soda, and Borate Mineral Mining|Phosphate Rock Mining|Other Chemical and Fertilizer Mineral Mining|All Other Nonmetallic Mineral Mining"
315120,Apparel Knitting Mills,N,315110|315190,Hosiery and Sock Mills|Other Apparel Knitting Mills
315250,Cut and Sew Apparel Manufacturing (except Contractors),N,315220|315240|315280,"Men's and Boys' Cut and Sew Apparel Manufacturing|Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing|Other Cut and Sew Apparel Manufacturing"
316990,Other Leather and Allied Product Manufacturing,N,316992|316998,Women's Handbag and Purse Manufacturing|All Other Leather Good and Allied Product Manufacturing
321215,Engineered Wood Member Manufacturing,N,321213|321214,Engineered Wood Member (except Truss) Manufacturing|Truss Manufacturing
322120,Paper Mills,N,322121|322122,Paper (except Newsprint) Mills|Newsprint Mills
325314,Fertilizer (Mixing Only) Manufacturing,R,325314,Fertilizer (Mixing Only) Manufacturing - except compost manufacturing
325315,Compost Manufacturing,N,325314,Fertilizer (Mixing Only) Manufacturing - compost manufacturing
333248,All Other Industrial Machinery Manufacturing,N,333244|333249,Printing Machinery and Equipment Manufacturing|Other Industrial Machinery Manufacturing
333310,Commercial and Service Industry Machinery Manufacturing,N,333314|333316|333318,Optical Instrument and Lens Manufacturing|Photographic and Photocopying Equipment Manufacturing|Other Commercial and Service Industry Machinery Manufacturing
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,N,333997|333999,Scale and Balance Manufacturing|All Other Miscellaneous General Purpose Machinery Manufacturing
334610,Manufacturing and Reproducing Magnetic and Optical Media,N,334613|334614,"Blank Magnetic and Optical Recording Media Manufacturing|Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
335131,Residential Electric Lighting Fixture Manufacturing,N,335121,Residential Electric Lighting Fixture Manufacturing
