rank,naics_code,entity_name,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022,bls_establishments_2024,bls_employment_2024,bls_average_annual_pay_usd_2024,bls_employment_growth_pct_2024,bls_pay_growth_pct_2024,sba_size_standard_basis,sba_size_standard_value,sba_size_standard_display,employees_per_establishment,payroll_per_establishment_usd,employment_gap_ratio_bls_to_cbp,fragmentation,operating_complexity,willingness_to_pay,growth,market_scale,workflow_intensity,thesis_fit,software_wedge,rollup_wedge,confidence,workflow_matrix_industry_code,workflow_mapping_type,workflow_coverage_share_pct,workflow_frontline_operator_share_pct,workflow_knowledge_work_share_pct,workflow_documentation,workflow_coordination,workflow_compliance,workflow_care_service,workflow_top_occupations,recommended_move,summary,caveats
1,722310,Food Service Contractors,direct,722310,29463,557000,15920859000,28583.23,25718,557545,39093,6.9,4.3,receipts_millions_usd,47.0,$47.00M,18.91,540367.89,1.001,76.1,59.8,59.9,83.4,91.9,79.0,100.0,75.3,83.5,90.0,722300,numeric_parent,95.9,94.2,1.5,51.6,62.3,61.0,61.1,"Fast food and counter workers (19.9%)|Cooks, institution and cafeteria (9.2%)|Waiters and waitresses (7.4%)",build,"Hospitality and food-service markets are location-heavy, labor-heavy, and workflow-driven. Fragmentation and workflow load support a build-first wedge.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
2,721110,Hotels (except Casino Hotels) and Motels,direct,721110,56920,1366502,48927113000,35804.64,61574,1541294,42552,1.8,4.4,receipts_millions_usd,40.0,$40.00M,24.01,859576.83,1.128,74.6,64.3,56.2,64.4,97.4,79.7,100.0,73.7,80.5,90.0,721100,numeric_parent,96.1,92.6,1.7,56.8,64.6,62.0,63.7,"Maids and housekeeping cleaners (22.4%)|Hotel, motel, and resort desk clerks (13.1%)|Waiters and waitresses (7.2%)",build,"Hospitality and food-service markets are location-heavy, labor-heavy, and workflow-driven. Fragmentation and workflow load support a build-first wedge.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
3,445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),direct,445110,62647,2796910,78756843000,28158.52,58659,2607785,33315,0.3,3.8,receipts_millions_usd,40.0,$40.00M,44.65,1257152.66,0.932,68.6,75.3,60.8,49.0,98.5,79.6,100.0,73.6,78.9,90.0,4450A1,broad_parent,96.7,97.2,0.8,55.5,59.1,58.7,54.9,Cashiers (27.5%)|Stockers and order fillers (20.9%)|Food preparation workers (6.1%),build,Multi-site retail operations can create recurring coordination and labor workflows. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
4,621610,Home Health Care Services,direct,621610,39117,1567910,56107073000,35784.63,51628,1758457,40618,7.9,2.1,receipts_millions_usd,19.0,$19.00M,40.08,1434339.88,1.122,68.6,72.6,39.8,72.9,98.0,81.8,100.0,72.9,72.6,90.0,621600,numeric_parent,37.3,82.3,9.9,77.5,75.3,76.1,85.6,Registered nurses (11.0%)|Licensed practical and licensed vocational nurses (4.5%)|Nursing assistants (4.5%),build,Care delivery workflows are operations-heavy and often documentation-heavy. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
5,623312,Assisted Living Facilities for the Elderly,direct,623312,21352,496802,16393135000,32997.32,21802,498349,37941,4.9,3.4,receipts_millions_usd,23.5,$23.50M,23.27,767756.42,1.003,72.1,64.3,39.3,73.6,91.8,82.6,100.0,71.9,74.4,90.0,623300,numeric_parent,70.5,90.8,2.8,65.9,70.0,69.7,76.7,"Nursing assistants (15.4%)|Food servers, nonrestaurant (7.4%)|Maids and housekeeping cleaners (5.0%)",build,Care delivery workflows are operations-heavy and often documentation-heavy. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
6,562111,Solid Waste Collection,direct,562111,10761,228376,15461157000,67700.45,10929,186243,71087,2.4,4.1,receipts_millions_usd,47.0,$47.00M,21.22,1436776.97,0.816,69.5,52.1,71.5,66.1,88.6,78.4,100.0,71.8,79.2,90.0,562100,numeric_parent,91.4,93.5,2.0,55.1,58.6,67.4,46.1,"Refuse and recyclable material collectors (31.7%)|Heavy and tractor-trailer truck drivers (21.8%)|Laborers and freight, stock, and material movers, hand (6.9%)",build,Outsourced operator services often have repeated labor and compliance workflows. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
7,812930,Parking Lots and Garages,direct,812930,11944,121135,3591227000,29646.49,7844,132544,36067,5.9,3.0,receipts_millions_usd,47.0,$47.00M,10.14,300672.05,1.094,82.4,43.9,55.1,74.4,71.2,80.2,100.0,71.4,80.3,90.0,812900,numeric_parent,87.7,90.4,4.0,65.1,65.9,65.1,63.6,Animal caretakers (33.8%)|Parking attendants (16.7%)|General and operations managers (4.2%),build,Local recurring service operations are often good vertical-software terrain. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
8,621498,All Other Outpatient Care Centers,direct,621498,20990,480567,35443704000,73753.93,11714,250362,81781,7.9,4.7,receipts_millions_usd,25.5,$25.50M,22.9,1688599.52,0.521,72.2,48.5,52.8,87.0,94.6,78.5,96.0,71.0,74.7,85.0,621400,numeric_parent,78.5,76.4,15.4,78.9,74.5,75.7,83.6,Registered nurses (15.0%)|Medical assistants (7.1%)|Medical secretaries and administrative assistants (5.1%),build,Care delivery workflows are operations-heavy and often documentation-heavy. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
9,457110,Gasoline Stations with Convenience Stores,aggregated_2017_to_2022,447110,96486,832419,21971970000,26395.32,101351,883550,30833,0.1,3.6,receipts_millions_usd,36.5,$36.50M,8.63,227721.85,1.061,90.7,42.4,42.0,45.8,94.5,77.8,92.0,68.0,80.8,80.0,457100,numeric_parent,99.3,95.9,0.3,52.3,55.3,55.4,52.5,Cashiers (60.0%)|First-line supervisors of retail sales workers (10.6%)|Retail salespersons (5.4%),build,Multi-site retail operations can create recurring coordination and labor workflows. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP business anchors are aggregated forward from 2017 NAICS into the 2022 definition. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
10,484122,"General Freight Trucking, Long‑Distance, Less Than Truckload",direct,484122,11197,314738,20736747000,65885.74,12952,249884,76263,-3.5,4.2,receipts_millions_usd,43.0,$43.00M,28.11,1851991.34,0.794,66.8,54.1,68.6,28.0,91.5,80.1,98.0,67.5,75.0,90.0,484000,broad_parent,93.8,93.3,2.5,60.6,61.4,72.7,49.5,"Heavy and tractor-trailer truck drivers (58.3%)|Laborers and freight, stock, and material movers, hand (7.0%)|Bus and truck mechanics and diesel engine specialists (3.7%)",build,Logistics and routing workflows fit the operator-heavy wedge thesis. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
